,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
860,Tue Feb 15 2022,7:30p,Cleveland Cavaliers,116,Atlanta Hawks,124,State Farm Arena,8,Cleveland Cavaliers Vs Atlanta Hawks,Atlanta Hawks
861,Tue Feb 15 2022,7:30p,Dallas Mavericks,107,Miami Heat,99,FTX Arena,8,Dallas Mavericks Vs Miami Heat,Dallas Mavericks
862,Tue Feb 15 2022,7:30p,Boston Celtics,135,Philadelphia 76ers,87,Wells Fargo Center,48,Boston Celtics Vs Philadelphia 76ers,Boston Celtics
863,Tue Feb 15 2022,8:00p,Indiana Pacers,119,Milwaukee Bucks,128,Fiserv Forum,9,Indiana Pacers Vs Milwaukee Bucks,Milwaukee Bucks
864,Tue Feb 15 2022,8:00p,Charlotte Hornets,120,Minnesota Timberwolves,126,Target Center,6,Charlotte Hornets Vs Minnesota Timberwolves,Minnesota Timberwolves
865,Tue Feb 15 2022,8:00p,Memphis Grizzlies,121,New Orleans Pelicans,109,Smoothie King Center,12,Memphis Grizzlies Vs New Orleans Pelicans,Memphis Grizzlies
866,Tue Feb 15 2022,10:00p,Los Angeles Clippers,96,Phoenix Suns,103,Phoenix Suns Arena,7,Los Angeles Clippers Vs Phoenix Suns,Phoenix Suns
867,Wed Feb 16 2022,7:00p,Atlanta Hawks,130,Orlando Magic,109,Amway Center,21,Atlanta Hawks Vs Orlando Magic,Atlanta Hawks
868,Wed Feb 16 2022,7:30p,Detroit Pistons,112,Boston Celtics,111,TD Garden,1,Detroit Pistons Vs Boston Celtics,Detroit Pistons
869,Wed Feb 16 2022,7:30p,Washington Wizards,108,Indiana Pacers,113,Gainbridge Fieldhouse,5,Washington Wizards Vs Indiana Pacers,Indiana Pacers
870,Wed Feb 16 2022,7:30p,Brooklyn Nets,111,New York Knicks,106,Madison Square Garden (IV),5,Brooklyn Nets Vs New York Knicks,Brooklyn Nets
871,Wed Feb 16 2022,8:00p,Sacramento Kings,118,Chicago Bulls,125,United Center,7,Sacramento Kings Vs Chicago Bulls,Chicago Bulls
872,Wed Feb 16 2022,8:00p,Portland Trail Blazers,123,Memphis Grizzlies,119,FedEx Forum,4,Portland Trail Blazers Vs Memphis Grizzlies,Portland Trail Blazers
873,Wed Feb 16 2022,8:00p,Toronto Raptors,103,Minnesota Timberwolves,91,Target Center,12,Toronto Raptors Vs Minnesota Timberwolves,Toronto Raptors
874,Wed Feb 16 2022,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,Paycom Center,8,San Antonio Spurs Vs Oklahoma City Thunder,San Antonio Spurs
875,Wed Feb 16 2022,9:00p,Houston Rockets,121,Phoenix Suns,124,Phoenix Suns Arena,3,Houston Rockets Vs Phoenix Suns,Phoenix Suns
876,Wed Feb 16 2022,10:00p,Denver Nuggets,117,Golden State Warriors,116,Chase Center,1,Denver Nuggets Vs Golden State Warriors,Denver Nuggets
877,Wed Feb 16 2022,10:00p,Utah Jazz,101,Los Angeles Lakers,106,Crypto.com Arena,5,Utah Jazz Vs Los Angeles Lakers,Los Angeles Lakers
878,Thu Feb 17 2022,7:00p,Miami Heat,111,Charlotte Hornets,107,Spectrum Center,4,Miami Heat Vs Charlotte Hornets,Miami Heat
879,Thu Feb 17 2022,7:30p,Washington Wizards,117,Brooklyn Nets,103,Barclays Center,14,Washington Wizards Vs Brooklyn Nets,Washington Wizards
880,Thu Feb 17 2022,8:00p,Dallas Mavericks,125,New Orleans Pelicans,118,Smoothie King Center,7,Dallas Mavericks Vs New Orleans Pelicans,Dallas Mavericks
881,Thu Feb 17 2022,8:30p,Philadelphia 76ers,123,Milwaukee Bucks,120,Fiserv Forum,3,Philadelphia 76ers Vs Milwaukee Bucks,Philadelphia 76ers
882,Thu Feb 17 2022,10:30p,Houston Rockets,111,Los Angeles Clippers,142,Crypto.com Arena,31,Houston Rockets Vs Los Angeles Clippers,Los Angeles Clippers
883,Thu Feb 24 2022,7:00p,Cleveland Cavaliers,103,Detroit Pistons,106,Little Caesars Arena,3,Cleveland Cavaliers Vs Detroit Pistons,Detroit Pistons
