Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
93,Jevon Carter\carteje01,PG,26,BRK,43,505,.331,22.2,,.273,.045,.019,.052,.156,.727,,.310,.143,.333,.375,.333,.339,,.538,.816,,.006,1,,.277,.419,,1,0
94,Wendell Carter Jr.\cartewe01,C,22,ORL,49,1436,.505,12.7,,.656,.307,.198,.100,.051,.344,,.603,.777,.446,.471,.423,.318,,.624,1.000,,.133,62,,.108,.368,,0,0
95,Alex Caruso\carusal01,SG,27,CHI,28,775,.429,14.9,,.522,.280,.143,.049,.049,.478,,.505,.608,.385,.444,.333,.345,,.604,.933,,.027,4,,.414,.417,,1,0
96,Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,.457,5.3,,.943,.629,.200,.057,.057,.057,,.455,.545,.143,1.000,.000,.500,,.800,1.000,,.257,7,,.000,,,0,0
97,Ahmad Caver\caverah01,PG,25,IND,1,1,1.000,1.8,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,.000,0,,,,,0,0
98,Justin Champagnie\champju01,SF,20,TOR,30,252,.483,10.7,,.633,.400,.217,.017,.000,.367,,.526,.625,.385,.000,,.409,,.550,1.000,,.067,3,,.500,.364,,0,0
99,Zylan Cheatham\cheatzy01,SF,26,UTA,1,5,.000,17.2,,.333,.333,.000,.000,.000,.667,,.000,.000,,,,.000,,,,,.000,0,,.500,.000,,0,0
100,Chris Chiozza\chiozch01,PG,26,GSW,26,279,.292,19.4,,.338,.092,.154,.046,.046,.662,,.136,.000,.200,.000,.333,.372,,.333,.750,,.000,0,,.209,.333,,0,0
101,Marquese Chriss\chrisma01,PF,24,DAL,23,256,.475,8.7,,.792,.485,.267,.020,.020,.208,,.513,.633,.259,1.000,.500,.333,,.854,1.000,,.218,19,,.238,.400,,1,0
102,Josh Christopher\chrisjo01,SG,20,HOU,47,780,.467,13.3,,.610,.331,.174,.087,.017,.390,,.549,.653,.540,.240,.200,.339,,.354,.816,,.073,19,,.223,.320,,5,0
103,Gary Clark\clarkga01,PF,27,NOP,24,269,.361,20.9,,.164,.082,.082,.000,.000,.836,,.300,.200,.400,,,.373,,.667,1.000,,.000,0,,.588,.500,,0,0
104,Brandon Clarke\clarkbr01,PF,25,MEM,43,818,.651,5.6,,.938,.524,.305,.092,.017,.062,,.679,.784,.573,.481,.400,.222,,.699,1.000,,.188,53,,.611,.182,,0,0
105,Jordan Clarkson\clarkjo01,SG,29,UTA,53,1405,.402,17.3,,.429,.106,.253,.055,.013,.571,,.513,.671,.479,.463,.100,.318,,.190,.652,,.013,8,,.193,.402,,1,0
106,Nic Claxton\claxtni01,C,22,BRK,25,530,.639,2.4,,1.000,.723,.252,.026,.000,.000,,.639,.786,.256,.250,,,,.717,,,.323,46,,,,,0,0
107,Amir Coffey\coffeam01,SG,24,LAC,45,993,.458,17.8,,.415,.142,.142,.080,.051,.585,,.553,.846,.462,.409,.214,.391,,.603,.968,,.040,10,,.280,.333,,1,0
108,John Collins\collijo01,PF,24,ATL,50,1564,.537,11.7,,.736,.337,.208,.126,.064,.264,,.591,.750,.444,.447,.513,.388,,.783,.984,,.149,82,,.325,.404,,0,0
109,Zach Collins\colliza01,PF,24,SAS,3,48,.421,9.0,,.842,.263,.368,.158,.053,.158,,.375,.600,.000,.667,1.000,.667,,.833,1.000,,.000,0,,.000,,,0,0
110,Darren Collison\collida01,PG,34,LAL,3,37,.286,16.1,,.571,.286,.000,.000,.286,.429,,.500,1.000,,,.000,.000,,1.000,,,.000,0,,1.000,.000,,0,0
111,Mike Conley\conlemi01,PG,34,UTA,50,1419,.446,17.3,,.472,.074,.245,.123,.029,.528,,.473,.610,.467,.412,.438,.423,,.236,.520,,.000,0,,.165,.417,,0,0
112,Pat Connaughton\connapa01,SG,29,MIL,54,1457,.467,20.1,,.260,.157,.072,.027,.005,.740,,.639,.723,.500,.636,.000,.407,,.768,.960,,.017,6,,.309,.432,,1,0
113,Tyler Cook\cookty01,PF,24,CHI,19,196,.611,2.1,,1.000,.694,.306,.000,.000,.000,,.611,.680,.455,,,,,.773,,,.389,13,,,,,0,0
114,Sharife Cooper\coopesh01,PG,20,ATL,11,35,.214,11.6,,.571,.500,.071,.000,.000,.429,,.250,.143,1.000,,,.167,,.500,.000,,.000,0,,.333,.000,,0,0
115,Petr Cornelie\cornepe01,PF,26,DEN,13,38,.333,15.9,,.467,.333,.067,.000,.067,.533,,.571,.600,1.000,,.000,.125,,1.000,1.000,,.267,2,,.375,.000,,0,0
116,DeMarcus Cousins\couside01,C,31,TOT,23,366,.409,11.8,,.616,.377,.214,.013,.013,.384,,.500,.617,.353,.000,.000,.262,,.694,1.000,,.057,8,,.098,.333,,0,0
116,DeMarcus Cousins\couside01,C,31,MIL,17,287,.466,12.2,,.593,.390,.186,.008,.008,.407,,.600,.674,.500,.000,.000,.271,,.738,1.000,,.068,8,,.125,.333,,0,0
116,DeMarcus Cousins\couside01,C,31,DEN,6,79,.244,10.7,,.683,.341,.293,.024,.024,.317,,.250,.429,.083,.000,.000,.231,,.429,1.000,,.024,0,,.000,,,0,0
117,Robert Covington\covinro01,PF-SF,31,TOT,52,1505,.388,18.7,,.321,.172,.108,.022,.019,.679,,.483,.613,.333,.375,.286,.343,,.589,.964,,.019,6,,.200,.490,,0,0
117,Robert Covington\covinro01,PF,31,POR,48,1431,.381,18.9,,.315,.164,.110,.021,.021,.685,,.462,.600,.324,.286,.286,.343,,.612,.962,,.021,6,,.191,.477,,0,0
117,Robert Covington\covinro01,SF,31,LAC,4,74,.480,16.3,,.400,.280,.080,.040,.000,.600,,.700,.714,.500,1.000,,.333,,.429,1.000,,.000,0,,.333,.600,,0,0
118,Torrey Craig\craigto01,SF,31,TOT,52,1057,.462,15.1,,.514,.255,.148,.055,.055,.486,,.577,.703,.535,.375,.313,.340,,.570,.979,,.034,10,,.433,.443,,1,0
118,Torrey Craig\craigto01,SF,31,IND,51,1034,.456,15.2,,.509,.260,.135,.057,.057,.491,,.573,.712,.500,.375,.313,.333,,.561,.978,,.036,10,,.442,.443,,1,0
118,Torrey Craig\craigto01,SF,31,PHO,1,23,.667,11.7,,.667,.111,.556,.000,.000,.333,,.667,.000,.800,,,.667,,.750,1.000,,.000,0,,.000,,,0,0
