Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
136,Jarrett Culver\culveja01,SG,22,MEM,26,237,,.424,.475,.323,.478,.524,.489,.228,.337,,93,90,92,91,68,87,95,84,,-8.8,-14.3
137,Jarron Cumberland\cumbeja01,SG,24,POR,3,12,,.500,1.000,.000,.500,,.500,.000,.500,,110,190,,95,,89,,125,,-0.1,-0.2
138,Cade Cunningham\cunnica01,PG,20,DET,42,1336,,.397,.444,.330,.465,.860,.494,.137,.414,,87,84,94,88,111,88,57,103,,-76.7,-87.5
139,Seth Curry\curryse01,SG,31,PHI,45,1566,,.485,.561,.400,.580,.877,.603,.138,.473,,106,106,115,110,113,108,57,118,,56.6,49.1
140,Stephen Curry\curryst01,PG,33,GSW,52,1808,,.422,.500,.376,.541,.917,.590,.247,.630,,93,95,108,103,119,105,103,157,,30.1,68.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Anthony Davis\davisan02,C,28,LAL,36,1281,,.534,.576,.169,.542,.707,.578,.359,.104,,117,109,48,103,91,103,149,26,,20.5,26.6
142,Ed Davis\davised01,C,32,CLE,19,142,,.643,.643,,.643,.375,.599,.571,.000,,141,122,,122,49,107,238,,,3.3,1.4
143,Terence Davis\daviste02,SG,24,SAC,30,536,,.423,.542,.329,.515,.818,.543,.165,.558,,93,103,94,98,106,97,69,139,,-5.8,-9.5
144,Gabriel Deck\deckga01,PF,26,OKC,7,56,,.571,.600,.500,.643,,.643,.000,.286,,125,114,143,122,,115,,71,,3.3,2.3
145,Dewayne Dedmon\dedmode01,C,32,MIA,50,820,,.580,.591,.516,.616,.778,.649,.321,.138,,127,112,148,117,101,116,134,35,,40.4,45.8
146,Sam Dekker\dekkesa01,PF,27,TOR,1,1,,,,,,,,,,,,,,,,,,,,.0,.0
147,Javin DeLaurier\delauja01,C,23,MIL,1,3,,,,,,,,,,,,,,,,,,,,.0,.0
148,DeMar DeRozan\derozde01,PF,32,CHI,53,1884,,.512,.530,.337,.528,.862,.597,.409,.094,,112,101,96,100,112,107,170,23,,3.9,91.4
149,Mamadi Diakite\diakima01,PF,25,OKC,13,188,,.532,.595,.000,.532,.545,.540,.234,.106,,117,113,,101,71,97,97,27,,.6,-2.0
150,Cheick Diallo\diallch01,C,25,DET,3,31,,.375,.375,,.375,.833,.517,.750,.000,,82,71,,71,108,92,312,,,-2.4,-0.9
151,Hamidou Diallo\diallha01,SG,23,DET,49,1113,,.500,.556,.244,.522,.632,.542,.258,.181,,110,106,70,99,82,97,107,45,,-3.5,-17.7
152,Gorgui Dieng\dienggo01,C,32,ATL,36,327,,.479,.548,.423,.596,.708,.617,.255,.553,,105,104,121,113,92,110,106,138,,13.1,12.0
153,Spencer Dinwiddie\dinwisp01,PG,28,WAS,44,1330,,.376,.432,.310,.447,.811,.501,.291,.459,,82,82,89,85,105,90,121,115,,-77.5,-65.1
154,Donte DiVincenzo\divindo01,SG,25,TOT,18,360,,.323,.413,.272,.409,.862,.462,.228,.638,,71,78,78,78,112,82,95,159,,-29.6,-27.4
155,Donte DiVincenzo\divindo01,SG,25,MIL,17,341,,.331,.409,.284,.419,.852,.470,.229,.627,,72,78,81,80,110,84,95,157,,-25.1,-23.4
