Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
216,Gary Harris\harriga01,SG,27,ORL,50,1471,4%,83%,14%,,,-8.6,0.5,21,15,34,6,32,11,232,7,26
217,Joe Harris\harrijo01,SF,30,BRK,14,423,,7%,83%,10%,,1.8,1.7,7,3,11,4,2,0,33,1,6
218,Tobias Harris\harrito02,PF,29,PHI,47,1664,,,,97%,3%,1.9,-1.7,35,29,49,15,79,2,412,23,62
219,Shaquille Harrison\harrish01,SG,28,BRK,2,23,,,72%,28%,,-10.8,-11.2,2,0,1,0,0,1,8,0,1
220,Josh Hart\hartjo01,PF-SG,26,TOT,42,1411,,3%,58%,38%,1%,-3.2,1.0,49,25,52,6,78,10,411,15,28
220,Josh Hart\hartjo01,PF,26,NOP,41,1374,,2%,58%,39%,1%,-3.7,0.5,48,24,50,6,73,9,406,13,28
220,Josh Hart\hartjo01,SG,26,POR,1,37,,48%,52%,,,14.7,19.2,1,1,2,0,5,1,5,2,0
221,Isaiah Hartenstein\harteis01,C,23,LAC,44,695,,,,,100%,8.7,13.5,24,6,52,8,37,5,193,11,11
222,Udonis Haslem\hasleud01,C,41,MIA,9,57,,,,8%,92%,8.7,3.8,1,2,6,0,2,1,7,1,3
223,Sam Hauser\hausesa01,SF,24,BOS,10,41,,,45%,55%,,-0.5,-5.5,0,0,2,0,0,0,3,0,0
224,Jaxson Hayes\hayesja02,C,21,NOP,44,725,,,,19%,81%,-3.4,0.8,10,6,49,16,54,3,47,16,10
225,Killian Hayes\hayeski01,PG,20,DET,44,1093,64%,35%,1%,,,-12.7,-3.5,42,16,58,4,21,8,432,2,20
226,Gordon Hayward\haywago01,SF,31,CHO,48,1547,,3%,78%,19%,,0.0,1.6,41,22,35,15,67,8,437,17,27
227,Aaron Henry\henryaa01,SF,22,PHI,6,17,,11%,69%,21%,,-51.1,-54.1,1,0,2,0,0,0,0,0,2
228,Juancho Hernangómez\hernaju01,PF,26,TOT,24,148,,,8%,77%,16%,-10.8,-14.7,5,2,3,1,7,0,16,1,1
228,Juancho Hernangómez\hernaju01,PF,26,BOS,18,96,,,12%,84%,5%,-17.4,-23.2,3,2,3,1,5,0,8,1,1
228,Juancho Hernangómez\hernaju01,PF,26,SAS,5,51,,,,64%,37%,3.3,3.0,2,0,0,0,2,0,8,0,0
228,Juancho Hernangómez\hernaju01,PF,26,UTA,1,1,,,,100%,,-100.0,-106.7,0,0,0,0,0,0,0,0,0
229,Willy Hernangómez\hernawi01,C,27,NOP,29,480,,,,,100%,-6.5,-3.1,12,11,29,5,39,1,93,9,19
230,Tyler Herro\herroty01,SG,22,MIA,46,1504,25%,68%,8%,,,4.1,-1.9,70,40,34,5,50,8,438,8,56
231,Buddy Hield\hieldbu01,SG,29,TOT,57,1654,,34%,63%,3%,,-4.8,-1.4,53,29,55,5,24,3,273,5,35
231,Buddy Hield\hieldbu01,SG,29,SAC,55,1574,,31%,66%,3%,,-5.2,-1.7,51,28,51,5,24,3,250,5,31
231,Buddy Hield\hieldbu01,SG,29,IND,2,80,3%,87%,10%,,,2.6,5.8,2,1,4,0,0,0,23,0,4
232,Haywood Highsmith\highsha01,SF,25,MIA,4,42,,,36%,62%,2%,-10.3,-15.5,0,0,1,0,0,0,0,0,0
233,George Hill\hillge01,SG,35,MIL,41,1044,60%,39%,1%,,,13.6,16.1,22,4,27,3,9,8,252,1,12
234,Malcolm Hill\hillma01,SF-SG,26,TOT,16,196,,8%,63%,30%,,-5.0,-7.3,0,1,11,0,6,2,10,1,2
234,Malcolm Hill\hillma01,SG,26,ATL,3,46,,24%,65%,11%,,7.9,7.8,0,0,5,0,2,0,2,0,0
234,Malcolm Hill\hillma01,SF,26,CHI,13,150,,3%,62%,35%,,-8.9,-11.9,0,1,6,0,4,2,8,1,2
