Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
206,Kyle Guy\guyky01,SG,24,MIA,15,0,11.7,1.7,4.0,.433,0.9,2.3,.400,0.8,1.7,.480,.550,0.5,0.7,.700,0.1,0.7,0.9,1.1,0.5,0.1,0.8,0.8,4.9
207,Rui Hachimura\hachiru01,PF,23,WAS,16,0,18.3,3.2,7.1,.451,0.9,2.1,.441,2.3,4.9,.456,.518,1.1,1.4,.773,0.4,3.2,3.6,1.1,0.5,0.3,0.8,0.9,8.4
208,Tyrese Haliburton\halibty01,SG-PG,21,TOT,53,53,34.7,5.4,11.6,.462,2.2,5.1,.422,3.2,6.5,.493,.554,1.7,2.0,.841,0.8,3.2,3.9,7.6,1.7,0.6,2.3,1.4,14.6
208,Tyrese Haliburton\halibty01,SG,21,SAC,51,51,34.5,5.3,11.5,.457,2.0,4.9,.413,3.2,6.5,.491,.546,1.7,2.0,.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3
208,Tyrese Haliburton\halibty01,PG,21,IND,2,2,40.0,8.0,14.5,.552,5.0,9.0,.556,3.0,5.5,.545,.724,1.5,1.5,1.000,0.5,3.5,4.0,11.0,2.0,0.0,4.5,2.5,22.5
209,Tyler Hall\hallty01,SG,24,NYK,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,R.J. Hampton\hamptrj01,SG,20,ORL,42,1,19.4,2.5,6.7,.382,0.9,2.5,.364,1.6,4.1,.393,.452,1.1,1.9,.608,0.3,2.6,2.9,2.4,0.7,0.2,1.3,1.5,7.2
211,Tim Hardaway Jr.\hardati02,SG,29,DAL,42,20,29.6,5.0,12.6,.394,2.4,7.2,.336,2.5,5.4,.473,.491,1.9,2.5,.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2
212,James Harden\hardeja01,PG,32,BRK,44,44,37.0,6.6,16.0,.414,2.3,7.0,.332,4.3,9.1,.476,.486,6.9,8.0,.869,1.0,7.0,8.0,10.2,1.3,0.7,4.8,2.4,22.5
213,Maurice Harkless\harklma01,SF,28,SAC,39,20,19.7,2.0,4.3,.461,0.8,2.4,.319,1.2,1.9,.644,.551,0.5,0.7,.731,0.3,2.3,2.6,0.6,0.6,0.6,0.7,1.7,5.2
214,Jared Harper\harpeja01,PG,24,NOP,2,0,5.0,1.5,3.5,.429,0.5,1.0,.500,1.0,2.5,.400,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.5,0.5,1.0,3.5
215,Montrezl Harrell\harremo01,C,28,TOT,48,3,24.3,5.4,8.3,.653,0.1,0.3,.267,5.4,8.0,.668,.658,3.3,4.6,.712,2.1,4.6,6.8,2.1,0.4,0.7,1.1,1.9,14.2
215,Montrezl Harrell\harremo01,C,28,WAS,46,3,24.3,5.4,8.3,.645,0.1,0.3,.267,5.3,8.0,.660,.650,3.2,4.5,.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
215,Montrezl Harrell\harremo01,C,28,CHO,2,0,25.5,7.0,8.5,.824,0.0,0.0,,7.0,8.5,.824,.824,3.5,7.0,.500,2.5,5.0,7.5,1.5,0.5,0.5,1.5,2.5,17.5
216,Gary Harris\harriga01,SG,27,ORL,50,30,29.4,4.1,9.4,.440,1.9,4.9,.381,2.3,4.5,.504,.540,1.3,1.6,.846,0.6,1.5,2.2,1.9,0.9,0.2,1.0,1.9,11.4
217,Joe Harris\harrijo01,SF,30,BRK,14,14,30.2,4.0,8.9,.452,2.9,6.3,.466,1.1,2.6,.417,.617,0.4,0.4,.833,0.4,3.6,4.0,1.0,0.5,0.1,1.1,2.2,11.3
