Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
48,Goga Bitadze\bitadgo01,C,22,IND,34,387,14.0,.503,.333,.348,13.0,14.2,13.6,8.8,1.7,5.4,15.0,20.8,,0.0,0.4,0.4,.054,,-3.4,-0.7,-4.1,-0.2
49,Bismack Biyombo\biyombi01,C,29,PHO,17,308,20.9,.612,.000,.531,16.3,20.8,18.6,6.4,1.4,4.0,9.9,18.4,,0.8,0.6,1.4,.220,,0.4,0.1,0.6,0.2
50,Nemanja Bjelica\bjeline01,C,33,GSW,51,786,14.2,.550,.459,.255,6.3,21.4,14.1,17.8,1.9,2.1,16.8,19.2,,0.5,1.6,2.1,.126,,-1.1,2.1,1.0,0.6
51,Eric Bledsoe\bledser01,PG,32,LAC,54,1361,12.8,.514,.348,.250,2.2,11.6,7.0,24.6,2.5,1.2,18.3,20.5,,-0.3,1.7,1.4,.049,,-2.0,1.1,-0.9,0.4
52,Keljin Blevins\blevike01,SF,26,POR,12,73,4.0,.503,.609,.087,2.9,9.2,6.0,8.0,0.0,0.0,20.1,17.9,,-0.1,0.0,-0.1,-0.082,,-4.8,-5.1,-9.9,-0.1
53,Bogdan Bogdanović\bogdabo01,SG,29,ATL,38,1094,13.6,.553,.590,.122,1.3,13.1,7.3,14.8,1.5,0.6,8.2,19.6,,1.2,0.5,1.7,.075,,0.6,-0.5,0.1,0.6
54,Bojan Bogdanović\bogdabo02,PF,32,UTA,54,1673,15.6,.593,.481,.283,3.0,12.1,7.7,8.6,0.8,0.1,10.1,23.4,,2.9,1.2,4.2,.119,,1.5,-1.6,-0.1,0.8
55,Bol Bol\bolbo01,PF,22,DEN,14,81,13.9,.565,.148,.185,5.6,21.5,13.7,9.3,0.6,2.3,12.0,18.1,,0.0,0.1,0.1,.072,,-0.4,-0.5,-0.9,0.0
56,Leandro Bolmaro\bolmale01,SF,21,MIN,25,188,3.7,.389,.375,.281,8.2,11.7,9.9,7.3,1.3,0.0,25.0,10.7,,-0.2,0.1,-0.1,-0.021,,-6.0,-0.8,-6.7,-0.2
57,Isaac Bonga\bongais01,SF,22,TOR,13,66,7.6,.352,.308,.462,6.3,5.2,5.8,5.8,5.3,3.0,11.3,11.5,,-0.1,0.1,0.1,.038,,-5.7,3.8,-1.9,0.0
58,Devin Booker\bookede01,SG,25,PHO,49,1661,20.0,.555,.345,.239,2.6,13.7,8.3,20.7,1.4,0.9,9.2,32.2,,2.5,2.3,4.8,.139,,3.1,-0.3,2.8,2.0
59,Brandon Boston Jr.\bostobr01,SG,20,LAC,39,605,9.9,.462,.352,.215,2.3,13.4,8.0,8.5,1.6,1.4,8.5,22.2,,-0.6,0.7,0.0,.003,,-3.6,-0.7,-4.2,-0.3
60,Chris Boucher\bouchch01,PF,29,TOR,53,1067,18.3,.564,.393,.352,10.8,21.2,15.8,2.5,1.7,5.0,7.0,18.4,,2.2,1.5,3.7,.165,,0.4,-0.4,0.0,0.5
61,James Bouknight\bouknja01,SG,21,CHO,27,288,10.9,.468,.360,.228,7.4,9.7,8.6,10.3,1.0,0.3,7.4,23.7,,0.0,0.1,0.1,.012,,-2.8,-4.2,-7.0,-0.4
62,Avery Bradley\bradlav01,SG,31,LAL,49,1165,7.8,.533,.589,.047,2.5,7.8,5.1,4.7,1.9,0.7,9.8,12.5,,0.1,0.9,1.0,.041,,-3.6,0.1,-3.6,-0.5
63,Tony Bradley\bradlto01,C,24,CHI,43,488,14.8,.599,.000,.198,12.9,23.2,18.1,6.1,1.0,5.3,18.4,12.7,,0.6,0.6,1.3,.123,,-1.7,0.3,-1.4,0.1
64,Ignas Brazdeikis\brazdig01,SF,23,ORL,27,239,8.1,.461,.466,.192,4.4,10.7,7.6,12.3,1.4,0.4,9.2,15.8,,0.0,0.1,0.1,.017,,-4.1,-0.9,-5.0,-0.2
65,Mikal Bridges\bridgmi01,SF,25,PHO,56,1945,14.1,.623,.381,.149,3.1,9.6,6.4,8.3,1.7,1.1,6.9,14.1,,3.5,2.6,6.1,.152,,0.4,1.4,1.8,1.9
66,Miles Bridges\bridgmi02,PF,23,CHO,56,2009,17.4,.579,.382,.263,3.3,17.7,10.3,14.8,1.4,2.4,10.0,22.2,,3.2,1.6,4.7,.113,,1.2,-0.3,0.9,1.5
67,Oshae Brissett\brissos01,SF,23,IND,45,897,12.1,.520,.455,.306,8.1,18.2,13.1,5.6,1.4,1.6,10.1,16.2,,0.6,0.6,1.2,.065,,-1.0,-1.3,-2.3,-0.1
68,Malcolm Brogdon\brogdma01,PG,29,IND,28,934,18.3,.558,.365,.297,2.8,14.4,8.5,27.8,1.3,1.0,11.6,24.2,,1.8,0.5,2.3,.119,,2.9,-0.2,2.6,1.1
69,Armoni Brooks\brookar01,SG,23,HOU,41,690,8.6,.490,.849,.076,1.9,11.0,6.5,10.5,1.4,1.1,8.1,17.3,,-0.1,0.1,0.1,.004,,-2.4,-2.0,-4.4,-0.4
70,Dillon Brooks\brookdi01,SF,26,MEM,21,587,15.8,.521,.297,.212,3.0,9.5,6.2,15.1,2.2,0.6,9.1,28.7,,0.5,0.6,1.1,.090,,-0.6,-0.6,-1.2,0.1
71,Bruce Brown\brownbr01,SF,25,BRK,47,964,11.8,.527,.152,.184,6.4,15.6,11.1,7.8,2.2,2.2,10.6,13.5,,0.6,1.0,1.7,.084,,-2.8,0.8,-1.9,0.0
72,Charlie Brown Jr.\brownch02,SG,24,TOT,18,166,6.0,.329,.333,.222,9.5,11.2,10.3,4.0,2.7,2.2,11.2,12.1,,-0.2,0.2,0.0,.007,,-5.5,0.1,-5.4,-0.1
72,Charlie Brown Jr.\brownch02,SG,24,DAL,3,15,5.1,.200,.600,.000,0.0,7.4,3.7,9.0,6.7,6.0,0.0,14.9,,-0.1,0.0,0.0,-0.043,,-7.5,5.2,-2.3,0.0
72,Charlie Brown Jr.\brownch02,SG,24,PHI,15,151,6.0,.348,.290,.258,10.4,11.6,11.0,3.5,2.3,1.8,12.7,11.8,,-0.2,0.2,0.0,.012,,-5.3,-0.4,-5.7,-0.1
73,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,104,6.6,.447,.563,.188,1.1,15.5,8.3,5.2,0.9,0.0,2.8,14.9,,0.0,0.0,0.0,.003,,-4.2,-2.4,-6.6,-0.1
73,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,-8.7,.143,.429,.000,0.0,10.0,5.1,0.0,0.0,0.0,12.5,16.4,,-0.1,0.0,-0.1,-0.300,,-11.4,-5.0,-16.4,-0.1
73,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,10.5,.525,.600,.240,1.3,16.9,9.2,6.5,1.2,0.0,0.0,14.6,,0.1,0.0,0.1,.079,,-2.3,-1.8,-4.1,0.0
74,Greg Brown III\browngr01,SF,20,POR,26,190,14.5,.504,.284,.378,9.6,18.3,13.9,5.8,1.8,3.6,9.4,21.9,,0.1,0.2,0.2,.056,,-2.4,-1.4,-3.8,-0.1
75,Jaylen Brown\brownja02,SF,25,BOS,44,1512,17.9,.560,.403,.259,2.6,17.7,10.2,16.6,1.5,0.9,12.3,30.5,,1.0,2.4,3.4,.107,,1.7,0.2,2.0,1.4
76,Moses Brown\brownmo01,C,22,DAL,26,169,15.7,.588,.000,.860,10.3,29.5,19.8,0.9,0.9,4.8,16.9,22.0,,0.1,0.3,0.4,.120,,-4.4,-0.2,-4.6,-0.1
77,Sterling Brown\brownst02,SG,26,DAL,36,513,9.4,.523,.617,.086,4.7,22.5,13.5,8.0,1.2,0.9,13.7,13.4,,0.1,0.8,0.8,.077,,-2.6,0.5,-2.2,0.0
78,Troy Brown Jr.\browntr01,SF,22,CHI,46,820,9.7,.505,.490,.125,4.5,16.9,10.8,8.2,1.5,0.4,9.1,12.5,,0.4,0.7,1.0,.061,,-1.9,-0.4,-2.3,-0.1
79,Jalen Brunson\brunsja01,PG,25,DAL,56,1784,17.5,.575,.238,.203,1.8,11.5,6.6,27.9,1.4,0.2,11.0,22.1,,3.4,2.0,5.5,.148,,1.2,0.1,1.3,1.5
80,Thomas Bryant\bryanth01,C,24,WAS,13,218,16.3,.576,.321,.210,8.1,15.7,12.0,7.2,1.4,2.7,9.2,19.9,,0.3,0.2,0.5,.107,,0.0,-1.0,-1.0,0.1
81,Shaq Buchanan\buchash01,PG,25,MEM,2,10,0.8,.250,.500,.000,10.3,10.7,10.5,25.3,4.8,0.0,33.3,24.8,,-0.1,0.0,0.0,-0.233,,-11.0,-0.2,-11.1,0.0
82,Reggie Bullock\bullore01,SF,30,DAL,49,1242,9.9,.572,.764,.104,1.8,13.0,7.4,5.9,1.0,0.4,6.7,13.5,,1.0,1.4,2.4,.094,,-1.1,0.0,-1.1,0.3
83,Trey Burke\burketr01,PG,29,DAL,32,346,12.3,.507,.404,.099,0.9,8.0,4.4,22.0,1.4,0.0,10.5,25.8,,0.0,0.4,0.3,.046,,-2.0,-1.1,-3.0,-0.1
84,Alec Burks\burksal01,SG,30,NYK,56,1490,14.3,.550,.518,.381,2.4,15.4,8.8,15.0,2.1,1.0,8.9,18.3,,2.2,1.7,3.9,.126,,-0.4,1.1,0.7,1.0
85,Jared Butler\butleja02,SG,21,UTA,27,210,11.1,.515,.534,.136,1.6,9.9,6.0,21.2,2.1,2.9,19.1,23.9,,-0.1,0.3,0.1,.027,,-2.6,0.3,-2.3,0.0
86,Jimmy Butler\butleji01,SF,32,MIA,38,1284,25.8,.601,.122,.536,6.4,14.3,10.4,29.7,2.7,1.4,10.5,26.5,,5.1,2.0,7.1,.264,,5.7,2.4,8.0,3.2
87,Devontae Cacok\cacokde01,PF,25,SAS,10,80,23.1,.690,.000,.304,6.5,33.0,19.6,3.6,3.0,7.3,7.1,14.9,,0.2,0.2,0.4,.229,,1.1,3.9,5.0,0.1
88,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,52,1523,10.8,.532,.514,.145,1.8,10.8,6.4,8.3,1.8,1.0,10.0,17.9,,0.1,1.0,1.2,.037,,-1.8,-0.3,-2.0,0.0
89,Facundo Campazzo\campafa01,PG,30,DEN,53,1077,12.1,.525,.643,.257,2.1,8.3,5.3,24.2,2.7,1.8,17.2,15.0,,0.9,1.2,2.1,.094,,-1.6,1.2,-0.4,0.5
90,Vlatko Čančar\cancavl01,PF,24,DEN,14,152,14.1,.678,.308,.308,4.5,12.2,8.4,12.2,0.7,1.8,15.3,15.2,,0.3,0.1,0.4,.127,,0.0,-0.6,-0.6,0.1
